Label,cg20855160,cg07614747,cg21009747,cg25792518,cg03497652
Cancer,0.107237525261065,0.0897569384346174,0.98099557355167,0.9762241253909699,0.9772983064373539
Cancer,0.24853091778143202,0.17252449533832698,0.9785617005652251,0.8270060117360809,0.9488410342889799
Cancer,0.0909390473940569,0.7177509269415309,0.56549853990421,0.8006557611975859,0.7431983347895241
Cancer,0.162768772704595,0.160174310821061,0.968138037990827,0.897488819514178,0.962407430491287
Cancer,0.0316882204080038,0.0568482326877778,0.9770102229688861,0.9509564181921559,0.9627232732902241
Cancer,0.118127352213985,0.124879115688098,0.979821341900447,0.8296856848554741,0.971205800858022
Cancer,0.0758451546055247,0.09975172941744401,0.973570503802232,0.962846476235639,0.958906182090604
Cancer,0.0384922749004136,0.0815996613616714,0.9681783025644991,0.936469732369636,0.943271280412404
Cancer,0.0749835321080976,0.375605203768074,0.916228267909991,0.720073946524616,0.7935689179854759
Cancer,0.0350079911335096,0.0813430323592853,0.9457860264488391,0.9629691444250551,0.9684695177322831
Cancer,0.040857753669280995,0.0967541196760544,0.960562604594011,0.949866636920086,0.961788168888326
Cancer,0.19470479893106699,0.17361308749354,0.978512101961527,0.828696248910308,0.9690732509913829
Cancer,0.191619345859149,0.24520578761003603,0.9830988136861291,0.854345601832961,0.950539865414875
Cancer,0.0398679221655272,0.115048167810096,0.9821343386004169,0.982437483145172,0.962052179701653
Cancer,0.7662624706110251,0.684522186112815,0.963900419827009,0.8343373813168371,0.9386592960259549
Cancer,0.0719098617788599,0.061864352530814,0.9666510245964991,0.9739328914568449,0.97489308901069
Cancer,0.21639184489427302,0.20613130985298603,0.979217732299381,0.9399469444314499,0.971545250328913
Cancer,0.27653119467876697,0.157431559717016,0.897387756851909,0.833205733348537,0.754627416185268
Cancer,0.0428486227472344,0.0682768837026071,0.969866853969826,0.9145515001815749,0.959420833371782
Cancer,0.0644293710584724,0.17543217422646698,0.973678057531925,0.918632333148953,0.890147261684648
Cancer,0.0576656532369111,0.0752499992142601,0.978443572532543,0.9418022223512159,0.969262501054596
Cancer,0.252614064847892,0.6836729029026751,0.8830604230243709,0.249678215805279,0.6282051253765051
Cancer,0.0865359178111943,0.0738205551435546,0.9748320635896941,0.948121786238884,0.442943375954679
Cancer,0.18620681451467802,0.36012458299432004,0.9567528293768052,0.766050560990525,0.8327762491653331
Cancer,0.21119465068205398,0.583010723207991,0.967073314012706,0.803896196421129,0.8146902324232159
Cancer,0.0587101126671349,0.0747847923378203,0.978142826301782,0.9737485134525301,0.96815048840911
Cancer,0.385788226349205,0.197489836484355,0.979343748631694,0.8680590712964878,0.904606704310772
Cancer,0.0632558900794601,0.078088311774894,0.9666835009335358,0.903644399299693,0.9095805052094009
Cancer,0.29047674358249104,0.27367628431387303,0.969793559289183,0.780774371334915,0.9569943553161501
Cancer,0.122328153433482,0.38607856138349295,0.9462901875222801,0.760439643013857,0.862365999053955
Cancer,0.10853388539600299,0.11934657865576599,0.9747940531696221,0.94930718274541,0.953609537447896
Cancer,0.0313387184137461,0.125102430072733,0.0754416581735093,0.0310236094673653,0.127585862373909
Cancer,0.24037592757645604,0.315323530843229,0.6430564634086391,0.223533606628867,0.756742722395501
Cancer,0.0904751762821453,0.0810553253086802,0.978175891836019,0.943599694973504,0.957126477034298
Cancer,0.109444976324686,0.21531862417610395,0.932183288933866,0.8594980061044909,0.9650745486984101
Cancer,0.16639009629767498,0.237139692391422,0.9635091836417622,0.9137673048367159,0.9496297087976171
Cancer,0.142296433081964,0.11245158999085901,0.970225380717533,0.8558094210867528,0.93007137039646
Cancer,0.17202166063032,0.214711023679842,0.9805641605396591,0.8844222714252651,0.9468433425382479
Cancer,0.11672984431877499,0.208829167012138,0.9731655848016469,0.9469565046164531,0.943875101535502
Cancer,0.37273270791557794,0.19053786805541395,0.9784592187070091,0.912555355181769,0.894540539047855
Cancer,0.0562495613257123,0.0832825755573409,0.974005820358197,0.969252161384828,0.953474838542438
Cancer,0.12598967440883901,0.137662297581603,0.9800122266981921,0.958752911637207,0.9621262420072441
Cancer,0.750529913244578,0.0983487521904331,0.978105191019465,0.957115476438856,0.9601728519563121
Cancer,0.135874383647718,0.24069394646913,0.968859565734182,0.922250247726482,0.961844665914471
Cancer,0.15385898030806602,0.159973631195698,0.9832841009168249,0.8923294456247259,0.9710354425653019
Cancer,0.0851628306182977,0.156736302109648,0.9740215282896278,0.728868241758516,0.965447847798053
Cancer,0.349740163455021,0.520259522378995,0.905791268793284,0.482339701246489,0.8450769157665359
Cancer,0.7439256872995809,0.692241243831446,0.957647268569891,0.200250109569252,0.9401102914132801
Cancer,0.10821946669102099,0.11040785174821001,0.962080650215842,0.835331498225863,0.9302277892484209
Cancer,0.0293234239111487,0.7610066914933521,0.97762883912089,0.968229339339163,0.635698289467848
Cancer,0.0506640217241635,0.0659997492661514,0.9212452317718319,0.77883488077888,0.93749341891534
Cancer,0.0929566694966663,0.172257089602109,0.9684714847092349,0.9270427108751841,0.9588318537838879
Cancer,0.20943242022145603,0.15311572919223598,0.973058809695362,0.8470207581343541,0.970600095471386
Cancer,0.27937320591641496,0.34764906148989094,0.8773869066128829,0.5782170084227249,0.765242538427831
