Label,ENSG00000169715.13,ENSG00000150656.13,ENSG00000112936.17,ENSG00000112312.8,ENSG00000101210.9
Early_Stage,-0.62335,-0.80158,0.282806,0.356717,1.501983
Early_Stage,-0.433795,-1.699679,0.496853,-0.050067,0.829169
Early_Stage,-0.390931,0.11951,-0.458899,-0.897073,-0.923997
Early_Stage,-0.521988,-1.216856,0.62695,-0.946088,0.875428
Early_Stage,-0.364054,-0.643553,0.794024,1.626735,1.101198
Early_Stage,-0.270871,0.195372,-0.058736,0.868843,0.15102
Early_Stage,-0.083397,0.442324,0.078839,-1.484143,1.077847
Early_Stage,-0.544069,-0.88925,0.530814,-0.032385,1.476814
Early_Stage,-0.436473,-0.894185,0.040618,0.353173,-0.176889
Early_Stage,-0.54191,-0.413573,0.842953,-0.557919,-0.893452
Early_Stage,-0.564836,-0.70876,0.530216,0.509369,-0.769181
Early_Stage,-0.208868,1.061523,-0.694422,-0.16836,0.022842
Early_Stage,-0.497265,-0.325774,1.057969,0.693002,-0.211801
Early_Stage,-0.524304,-0.624327,0.59239,0.439254,-0.120159
Early_Stage,-0.468663,-1.334249,0.641182,1.255644,-0.272798
Early_Stage,-0.454624,0.355466,-1.626657,0.058025,-0.961869
Early_Stage,-0.392863,-0.601365,0.430257,-1.245765,0.536129
Early_Stage,-0.275875,-0.364539,0.796542,0.918884,0.573135
Early_Stage,-0.147803,0.281231,-1.833313,-0.134093,0.546987
Early_Stage,-0.369672,-0.316061,-0.445074,-0.814188,1.212741
Early_Stage,-0.285123,0.48812,-0.766276,-0.962074,-1.083326
Early_Stage,-0.457058,-0.509245,0.771291,0.42971,-1.133981
Early_Stage,-0.587926,-0.51408,1.987255,1.98705,1.938352
Early_Stage,-0.398791,-0.216282,0.020858,-0.18175,-0.691061
Early_Stage,-0.3695,0.101925,-0.46676,-0.569674,-1.142443
Early_Stage,-0.551112,-0.385276,0.523845,0.620575,1.443773
Early_Stage,-0.307051,-0.592665,-0.345923,0.050554,0.900529
Early_Stage,-0.093757,0.385859,-0.013462,-0.916436,0.510924
Early_Stage,-0.156425,0.690503,-0.7804,-0.440621,0.489459
Early_Stage,0.02984,1.076798,-1.51477,-1.268676,-0.970114
Early_Stage,-0.52015,-0.047102,0.690691,2.190565,1.012343
Early_Stage,-0.385064,-0.082872,0.358607,0.147493,2.163418
Early_Stage,-0.574298,-0.064431,0.079587,-0.575528,-1.047907
Early_Stage,-0.612959,-0.461395,0.803386,1.013523,-0.753974
Early_Stage,-0.5298,-0.59469,1.155122,1.563269,0.685298
Early_Stage,-0.305537,1.159833,-0.059209,-0.750813,-0.039489
Early_Stage,-0.658341,0.111195,1.410369,1.59645,0.620785
Early_Stage,-0.392818,-0.707149,0.222277,1.588513,-1.010606
Early_Stage,-0.507678,0.501356,0.110653,-0.87775,0.493763
Early_Stage,-0.534709,0.837548,1.487576,0.209992,-1.02152
Early_Stage,-0.355178,-0.752204,0.087788,0.645482,0.332413
Early_Stage,-0.425145,0.283755,0.02559,-1.036779,-0.814324
Early_Stage,-0.441182,-0.198083,-0.599543,0.303452,0.995083
Early_Stage,-0.374081,0.424025,0.905564,0.831032,1.408929
Early_Stage,-0.408658,-0.231643,0.512239,2.332395,-0.064257
Late_Stage,-0.309046,-0.768805,-1.036484,-0.561673,-0.260028
Late_Stage,-0.194756,0.102239,-2.017164,-1.058296,-1.052522
Late_Stage,-0.486618,1.315122,-0.944375,-0.494261,-1.112857
Late_Stage,-0.304574,-0.840216,0.820741,-0.658713,-0.262967
Late_Stage,-0.522328,0.862835,0.754708,-0.702544,0.330542
Late_Stage,-0.045023,-0.569974,0.794131,-1.361668,0.088533
Late_Stage,-0.471192,-0.786462,0.691272,-0.704772,1.952085
Late_Stage,-0.234868,0.657799,-1.964319,2.305196,0.162144
Late_Stage,-0.603063,0.143385,1.400133,0.49451,-1.076623
Late_Stage,-0.318552,-0.102355,-1.381658,-0.705548,-0.37214
Late_Stage,-0.245403,-0.70896,0.440679,-0.476816,-0.016019
Late_Stage,-0.285729,0.121108,-0.560813,-0.100583,1.21185
Late_Stage,-0.325168,-0.941636,-2.133364,-1.550362,-1.107169
