Label,ENSG00000263761.2,ENSG00000160339.14,ENSG00000104938.15,ENSG00000182566.11,ENSG00000165682.13
Cancer,-0.273980118230445,-0.528444466408612,-0.418713768224995,-0.420691046029458,-0.439734314093294
Cancer,-0.491049547234434,-0.729993732053851,-0.451311362308343,-0.562557222505406,-0.458824444542017
Cancer,-0.491049547234434,-0.672947649106348,-0.451311362308343,-0.525185656505526,-0.450434706595622
Cancer,-0.491049547234434,-0.71583944038195,-0.445847352103921,-0.570697863404532,-0.480802133268568
Cancer,-0.491049547234434,-0.391020468069833,-0.451311362308343,-0.555201347915471,-0.480802133268568
Cancer,-0.468398595886751,-0.746518495412608,-0.451311362308343,-0.537262058803437,-0.480802133268568
Cancer,-0.491049547234434,-0.460375428414948,-0.444628673615661,-0.543143839597687,-0.472375729322724
Cancer,-0.472348498329929,-0.707311141640477,-0.451311362308343,-0.532719388850697,-0.454384755613951
Cancer,-0.491049547234434,0.419042846228812,-0.451311362308343,-0.570796996242571,-0.480802133268568
Cancer,0.0206971742428927,-0.691753574806131,-0.412110428199688,0.347489134259658,-0.407229367307408
Cancer,-0.434310982677621,-0.241948790025806,-0.419182494999605,-0.199796195292097,-0.264872959520335
Cancer,-0.491049547234434,-0.599603244139611,-0.443628715746011,-0.56518106343793,-0.451894000708396
Cancer,-0.333370442330742,-0.0438396145991749,-0.239701194247715,-0.0387698273536578,-0.0765097781037496
Cancer,-0.491049547234434,0.590780145359553,-0.444379379506032,-0.500871163041308,-0.480802133268568
Cancer,-0.491049547234434,-0.746518495412608,-0.451311362308343,-0.499290608934521,-0.480802133268568
Cancer,0.0690882292901785,0.680937957523919,-0.434800564585677,-0.437021016161113,-0.47383839240125
Cancer,-0.491049547234434,-0.714825853685307,-0.451311362308343,-0.529080723177884,-0.459519642023793
Cancer,-0.491049547234434,-0.686778201286513,-0.435108747155264,-0.275994648222674,-0.440180132117679
Cancer,-0.491049547234434,-0.567968121818261,-0.451311362308343,-0.549738020334934,-0.471987120389707
Cancer,-0.477804880522398,-0.746518495412608,-0.451311362308343,-0.538583910720792,-0.471422223357786
Cancer,-0.491049547234434,-0.746518495412608,-0.451311362308343,-0.563969184174136,-0.429857671713296
Cancer,-0.316717816327827,-0.223847256668068,-0.315258214701731,-0.275718505436201,-0.309968972521054
Cancer,-0.491049547234434,1.04832938923722,-0.434423180009491,-0.552846625084501,-0.438472218464602
Cancer,-0.491049547234434,-0.644451852217121,-0.451311362308343,-0.540440425941166,-0.471810971608936
Cancer,-0.491049547234434,-0.567627082428566,-0.43385376542785,-0.573397704160964,-0.480802133268568
Cancer,-0.491049547234434,-0.165379662041482,-0.451311362308343,-0.546131995223944,-0.471052346380964
Cancer,-0.480150913854877,-0.679368996581145,-0.451311362308343,-0.455210711067459,-0.480802133268568
Cancer,-0.491049547234434,-0.735478736325437,0.610742513682061,-0.423457924080764,-0.473456724044295
